"lga_code","single_listing_hosts","can_cover_mortgage","percentage_cover"
"18050",32418,28701,88.5341476957245974
"16550",19395,17046,87.8886310904872390
"17200",45018,38925,86.4654138344662135
"18500",9558,8181,85.5932203389830508
"15350",2718,2313,85.0993377483443709
"15950",7542,6273,83.1742243436754177
"14100",423,342,80.8510638297872340
"11520",2565,2070,80.7017543859649123
"14700",1719,1332,77.4869109947643979
"18250",2682,2025,75.5033557046979866
"12380",261,189,72.4137931034482759
"16260",2655,1872,70.5084745762711864
"14000",2196,1548,70.4918032786885246
"16700",3312,2322,70.1086956521739130
"11300",1998,1395,69.8198198198198198
"14900",702,477,67.9487179487179487
"11500",423,279,65.9574468085106383
"11450",279,180,64.5161290322580645
"16350",765,486,63.5294117647058824
"10750",1485,630,42.4242424242424242
